# Lucide icon codepoints — auto-generated from Lucide.ttf
# Format: hex_codepoint  glyph-name
#
# Usage in Rust:  iced::widget::text("\u{XXXX}").font(LUCIDE_FONT)

//! Lucide icon helpers.
//!
//! **Adding a new icon:** look up the codepoint in
//! `crates/playfair-core/assets/fonts/lucide-codepoints.txt`,
//! then follow the pattern of any existing function below.

0000  .notdef#1
f0ff  cloud_rain
f120  cloud_rain_wind
f0de  cloud_snow
f09c  cloud_sun
f0bd  cloud_sun_rain
f07b  cloud_sync
f05a  cloud_upload
f018  cloudy
f68e  clover
f66c  club
f628  code
f64a  code_xml
f606  codepen
f5e4  codesandbox
f5c2  coffee
f5a0  cog
f57e  coins
f55c  columns_2
f518  columns_3
f53a  columns_3_cog
f4f6  columns_4
f4d4  combine
f4b2  command
f490  compass
f46e  component
f44c  computer
f42a  concierge_bell
f408  cone
f3e6  construction
f3a2  contact
f3c4  contact_round
f380  container
f35e  contrast
f33c  cookie
f31a  cooking_pot
f24e  copy
f2f8  copy_check
f2d6  copy_minus
f2b4  copy_plus
f292  copy_slash
f270  copy_x
f22c  copyleft
f20a  copyright
f1e8  corner_down_left
f1c6  corner_down_right
f1a4  corner_left_down
f182  corner_left_up
f161  corner_right_down
f140  corner_right_up
f11f  corner_up_left
f0fe  corner_up_right
f0dd  cpu
f0bc  creative_commons
f09b  credit_card
f07a  croissant
f059  crop
f038  cross
f017  crosshair
f68d  crown
f66b  cuboid
f649  cup_soda
f627  currency
f605  cylinder
f5e3  dam
f55b  database
f5c1  database_backup
f59f  database_search
f57d  database_zap
f539  decimals_arrow_left
f517  decimals_arrow_right
f4f5  delete
f4d3  dessert
f4b1  diameter
f429  diamond
f48f  diamond_minus
f46d  diamond_percent
f44b  diamond_plus
f407  dice_1
f3e5  dice_2
f3c3  dice_3
f3a1  dice_4
f37f  dice_5
f35d  dice_6
f33b  dices
f319  diff
f291  disc
f2f7  disc_2
f2d5  disc_3
f2b3  disc_album
f26f  divide
f22b  dna
f24d  dna_off
f209  dock
f1e7  dog
f1c5  dollar_sign
f1a3  donut
f160  door_closed
f181  door_closed_locked
f13f  door_open
f11e  dot
f0fd  download
f0dc  drafting_compass
f0bb  drama
f09a  dribbble
f079  drill
f058  drone
f016  droplet
f037  droplet_off
f68c  droplets
f66a  drum
f648  drumstick
f626  dumbbell
f5e2  ear
f604  ear_off
f59e  earth
f5c0  earth_lock
f57c  eclipse
f516  egg
f55a  egg_fried
f538  egg_off
f4d2  ellipsis
f4f4  ellipsis_vertical
f46c  equal
f4b0  equal_approximately
f48e  equal_not
f44a  eraser
f428  ethernet_port
f406  euro
f3e4  ev_charger
f3c2  expand
f3a0  external_link
f33a  eye
f37e  eye_closed
f35c  eye_off
f318  facebook
f2f6  factory
f2d4  fan
f2b2  fast_forward
f290  feather
f26e  fence
f24c  ferris_wheel
f22a  figma
f17f  file
f208  file_archive
f1e6  file_axis_3d
f1c4  file_badge
f1a2  file_box
f15f  file_braces
f180  file_braces_corner
f11d  file_chart_column
f13e  file_chart_column_increasing
f0fc  file_chart_line
f0db  file_chart_pie
f099  file_check
f0ba  file_check_corner
f078  file_clock
f036  file_code
f057  file_code_corner
f015  file_cog
f68b  file_diff
f669  file_digit
f647  file_down
f625  file_exclamation_point
f603  file_headphone
f5e1  file_heart
f5bf  file_image
f59d  file_input
f57b  file_key
f559  file_lock
f515  file_minus
f537  file_minus_corner
f4f3  file_music
f4d1  file_output
f48d  file_pen
f4af  file_pen_line
f46b  file_play
f427  file_plus
f449  file_plus_corner
f405  file_question_mark
f3e3  file_scan
f39f  file_search
f3c1  file_search_corner
f37d  file_signal
f35b  file_sliders
f339  file_spreadsheet
f317  file_stack
f2f5  file_symlink
f2d3  file_terminal
f2b1  file_text
f26d  file_type
f28f  file_type_corner
f24b  file_up
f229  file_user
f207  file_video_camera
f1e5  file_volume
f1a1  file_x
f1c3  file_x_corner
f15e  files
f13d  film
f11c  fingerprint_pattern
f0fb  fire_extinguisher
f098  fish
f0da  fish_off
f0b9  fish_symbol
f077  fishing_hook
f68a  flag
f056  flag_off
f035  flag_triangle_left
f014  flag_triangle_right
f646  flame
f668  flame_kindling
f602  flashlight
f624  flashlight_off
f5be  flask_conical
f5e0  flask_conical_off
f59c  flask_round
f57a  flip_horizontal_2
f558  flip_vertical_2
f514  flower
f536  flower_2
f4f2  focus
f4d0  fold_horizontal
f4ae  fold_vertical
f0b8  folder
f48c  folder_archive
f46a  folder_check
f448  folder_clock
f426  folder_closed
f404  folder_code
f3e2  folder_cog
f3c0  folder_dot
f39e  folder_down
f35a  folder_git
f37c  folder_git_2
f338  folder_heart
f316  folder_input
f2f4  folder_kanban
f2d2  folder_key
f2b0  folder_lock
f28e  folder_minus
f24a  folder_open
f26c  folder_open_dot
f228  folder_output
f206  folder_pen
f1e4  folder_plus
f1c2  folder_root
f17e  folder_search
f1a0  folder_search_2
f15d  folder_symlink
f13c  folder_sync
f11b  folder_tree
f0fa  folder_up
f0d9  folder_x
f097  folders
f076  footprints
f055  forklift
f034  form
f013  forward
f689  frame
f667  framer
f645  frown
f623  fuel
f601  fullscreen
f59b  funnel
f5df  funnel_plus
f5bd  funnel_x
f557  gallery_horizontal
f579  gallery_horizontal_end
f535  gallery_thumbnails
f4f1  gallery_vertical
f513  gallery_vertical_end
f48b  gamepad
f4cf  gamepad_2
f4ad  gamepad_directional
f469  gauge
f447  gavel
f425  gem
f403  georgian_lari
f3e1  ghost
f3bf  gift
f359  git_branch
f39d  git_branch_minus
f37b  git_branch_plus
f337  git_commit_horizontal
f315  git_commit_vertical
f2d1  git_compare
f2f3  git_compare_arrows
f2af  git_fork
f28d  git_graph
f249  git_merge
f26b  git_merge_conflict
f17d  git_pull_request
f227  git_pull_request_arrow
f205  git_pull_request_closed
f1c1  git_pull_request_create
f1e3  git_pull_request_create_arrow
f19f  git_pull_request_draft
f15c  github
f13b  gitlab
f11a  glass_water
f0f9  glasses
f075  globe
f0d8  globe_lock
f0b7  globe_off
f096  globe_x
f054  goal
f033  gpu
f012  graduation_cap
f688  grape
f600  grid_2x2
f666  grid_2x2_check
f644  grid_2x2_plus
f622  grid_2x2_x
f5de  grid_3x2
f5bc  grid_3x3
f556  grip
f59a  grip_horizontal
f578  grip_vertical
f534  group
f512  guitar
f4f0  ham
f4ce  hamburger
f4ac  hammer
f39c  hand
f48a  hand_coins
f468  hand_fist
f446  hand_grab
f424  hand_heart
f402  hand_helping
f3e0  hand_metal
f3be  hand_platter
f37a  handbag
f358  handshake
f2f2  hard_drive
f336  hard_drive_download
f314  hard_drive_upload
f2d0  hard_hat
f2ae  hash
f28c  hat_glasses
f26a  haze
f248  hd
f226  hdmi_port
f13a  heading
f204  heading_1
f1e2  heading_2
f1c0  heading_3
f19e  heading_4
f17c  heading_5
f15b  heading_6
f119  headphone_off
f0f8  headphones
f0d7  headset
f687  heart
f0b6  heart_crack
f095  heart_handshake
f074  heart_minus
f053  heart_off
f032  heart_plus
f011  heart_pulse
f665  heater
f643  helicopter
f621  hexagon
f5ff  highlighter
f5dd  history
f599  hop
